data;hora_utc;temp_c;temp_max_c;temp_min_c;umid_pct;umid_max_pct;umid_min_pct;pto_orvalho_c;pto_orvalho_max_c;pto_orvalho_min_c;press_hpa;press_max_hpa;press_min_hpa;vento_ms;dir_vento_ms;raj_vento_ms;radiacao_kj_m2;chuva_mm;cod_estacao;VL_LATITUDE;VL_LONGITUDE
11/02/2026;1800;;;;;;;;;;;;;;;;;;A749;-22,85722222;-54,60555555
11/02/2026;1800;34,3;35,3;33,5;38,0;38,0;33,0;18,0;18,3;15,8;952,4;953,3;952,4;2,9;96,0;7,1;3234,50;0,0;S711;-22,57527777000;-55,16027777000
11/02/2026;1800;36,1;37,0;34,8;36,0;36,0;29,0;18,7;18,7;14,8;963,0;963,3;962,9;;;;3602,00;0,0;A731;-21,60916666;-55,17749999
11/02/2026;1800;34,4;34,4;32,4;47,0;55,0;45,0;21,5;22,8;20,4;993,5;994,5;993,5;;314,0;;3483,70;0,0;A722;-20,39555555;-56,43166666
11/02/2026;1800;33,2;33,4;32,3;50,0;54,0;45,0;21,3;22,3;19,4;973,3;974,1;973,3;2,8;112,0;7,8;3400,10;0,0;S735;-22,89990900000;-53,86921900000
11/02/2026;1800;34,3;34,8;33,2;44,0;53,0;43,0;20,4;23,0;20,1;997,0;998,0;997,0;2,0;5,0;4,8;2956,90;0,0;A717;-18,9886111;-56,62277777
11/02/2026;1800;32,9;33,3;31,6;59,0;62,0;49,0;23,8;23,8;20,7;975,6;976,7;975,6;1,7;24,0;5,3;2557,80;0,0;S724;-21,06706900000;-55,64587400000
11/02/2026;1800;31,9;33,2;31,4;55,0;59,0;47,0;21,6;22,8;20,4;964,8;965,6;964,8;1,9;172,0;4,2;1533,30;0,0;S712;-21,45083333000;-54,34194444000
11/02/2026;1800;32,9;34,6;31,0;52,0;59,0;46,0;21,7;22,6;20,7;967,2;968,0;967,2;1,3;196,0;4,4;2611,50;0,0;S713;-22,07861110000;-53,46583333000
11/02/2026;1800;31,6;31,7;29,7;52,0;58,0;49,0;20,5;21,2;19,4;945,0;945,6;945,0;2,4;299,0;6,8;3401,90;0,0;S723;-19,23316900000;-53,32943100000
11/02/2026;1800;23,5;24,3;23,1;89,0;92,0;87,0;21,7;22,2;21,4;965,5;965,9;965,3;3,1;355,0;8,2;1066,70;1,0;A710;-19,69555555;-51,18166666
11/02/2026;1800;32,8;32,9;31,4;;;;;;;980,7;981,8;980,7;2,5;313,0;4,9;2972,20;0,0;S714;-18,07277777000;-54,54888888000
